N°,Name,Birthdate,Height,Weight,Spike,Block,World championships,Olympic games,Other,Total,Club,Country
1,Piotr Nowakowski,18/12/1987,205,90,355,340,31,12,163,206,Trefl Gdańsk,pol-poland
2,Maciej Muzaj,21/05/1994,208,86,360,320,12,0,12,24,ONICO Warszawa,pol-poland
3,Dawid Konarski,31/08/1989,198,93,353,320,12,6,64,82,KS Jastrzębski Węgiel,pol-poland
4,Marcin Komenda,24/05/1996,198,90,335,315,0,0,3,3,GKS Katowice,pol-poland
5,Lukasz Kaczmarek,29/06/1994,204,99,345,332,0,0,26,26,ZAKSA Kędzierzyn Koźle,pol-poland
7,Artur Szalpuk,20/03/1995,201,93,350,335,12,0,45,57,PGE Skra Belchatow,pol-poland
8,Jedrzej Gruszczynski,13/11/1997,186,78,328,306,0,0,0,0,Cuprum Lubin,pol-poland
10,Damian Wojtaszek,07/09/1988,180,76,330,301,12,0,33,45,ONICO Warszawa,pol-poland
11,Fabian Drzyzga,03/01/1990,196,90,325,304,33,6,93,132,VC Lokomotiv Novosibirsk,pol-poland
12,Grzegorz Lomacz,01/10/1987,187,80,335,315,6,6,88,100,PGE Skra Belchatow,pol-poland
13,Michal Kubiak,23/02/1988,191,80,328,312,25,12,141,178,Panasonic Panthers,pol-poland
14,Aleksander Sliwka,24/05/1995,196,88,340,315,0,0,24,24,ZAKSA Kędzierzyn Koźle,pol-poland
15,Jakub Kochanowski,17/07/1997,199,89,353,323,0,0,16,16,PGE Skra Belchatow,pol-poland
16,Bartlomiej Boladz,28/09/1994,203,97,360,335,0,0,0,0,VfB Friedrichshafen,pol-poland
17,Pawel Zatorski,21/06/1990,184,73,328,304,21,6,77,104,ZAKSA Kędzierzyn Koźle,pol-poland
18,Bartosz Kwolek,17/07/1997,192,91,343,310,0,0,12,12,ONICO Warszawa,pol-poland
19,Marcin Janusz,31/07/1994,195,85,330,316,0,0,0,0,Trefl Gdańsk,pol-poland
20,Mateusz Bieniek,05/04/1994,210,106,365,330,0,6,45,51,ZAKSA Kędzierzyn Koźle,pol-poland
21,Tomasz Fornal,31/08/1997,198,92,340,315,0,0,0,0,Cerrad Czarni Radom,pol-poland
22,Bartosz Bednorz,25/07/1994,201,84,350,315,0,6,24,30,Modena Volley,pol-poland
23,Jakub Popiwczak,17/04/1996,180,77,315,300,0,0,0,0,KS Jastrzębski Węgiel,pol-poland
27,Piotr Łukasik,11/07/1994,208,112,350,330,0,0,0,0,ONICO Warszawa,pol-poland
28,Bartosz Filipiak,27/02/1994,197,93,357,341,0,0,0,0,Luczniczka Bydgoszcz,pol-poland
77,Karol Klos c,08/08/1989,201,87,357,326,13,6,53,72,PGE Skra Belchatow,pol-poland
88,Andrzej Wrona,27/12/1988,205,95,350,265,0,0,27,27,ONICO Warszawa,pol-poland
99,Norbert Huber,14/08/1998,204,80,351,316,0,0,0,0,Cerrad Czarni Radom,pol-poland
1,Valdir Sequeira,22/11/1981,196,86,351,344,0,0,276,276,Videx Grottazzolina,por-portugal
2,Andre Marques,10/04/2000,189,71,330,317,0,0,27,27,Famalicense AC,por-portugal
3,Nuno Teixeira,24/09/1998,214,89,350,340,0,0,4,4,VC Viana,por-portugal
4,Filip Cveticanin,19/06/1996,199,90,320,310,0,0,82,82,SL Benfica,por-portugal
5,Gil Pereira,21/02/1995,176,70,300,285,0,0,7,7,Esmoriz GC,por-portugal
6,Alexandre Ferreira c,13/11/1991,202,87,361,346,0,0,185,185,Aluron Warta Zawiercie,por-portugal
7,Marco Evan Baptista Ferreira,04/10/1987,202,94,359,337,0,0,185,185,SC Espinho,por-portugal
8,Tiago Da Silva Violas,27/03/1989,193,82,326,303,0,0,185,185,SL Benfica,por-portugal
9,Joao Simoes,11/06/1986,194,85,325,315,0,0,60,60,Sporting CP,por-portugal
10,Phelipe Martins,02/03/1991,202,91,307,289,0,0,78,78,SC Espinho,por-portugal
11,Bruno Cunha,18/08/1997,194,90,320,308,0,0,36,36,VC Viana,por-portugal
12,Lourenco Martins,30/04/1997,195,78,308,298,0,0,75,75,SC Espinho,por-portugal
13,Caique Oswaldo Ferreira Da Silva,09/08/1985,191,94,335,330,0,0,18,18,AJ Fonte Bastardo,por-portugal
14,Guilherme Menezes,20/12/2000,196,93,325,315,0,0,20,20,SC Espinho,por-portugal
15,Miguel Tavares Rodrigues,02/03/1993,192,68,315,293,0,0,135,135,Rennes Volley 35,por-portugal
16,Hugo Gaspar,02/09/1982,200,83,354,343,12,0,183,195,SL Benfica,por-portugal
17,Joao Fidalgo,02/11/1986,172,67,307,285,0,0,55,55,Sporting CP,por-portugal
18,Frederico Santos,16/09/1997,187,63,314,296,0,0,34,34,Purdue University Fort Wayne,por-portugal
19,Jose Gomes,21/10/1994,198,90,327,307,0,0,74,74,Dinamo de Bucareste,por-portugal
20,Jose Pedro Monteiro,21/10/1991,185,73,301,290,0,0,42,42,Sporting CP,por-portugal
21,Afonso Reis,09/08/1999,183,78,310,290,0,0,28,28,AA S Mamede,por-portugal
22,Januario Silva,05/07/1984,194,88,295,290,0,0,24,24,SC Espinho,por-portugal
23,Miguel Sinfronio,18/03/1999,194,88,312,305,0,0,27,27,SL Benfica,por-portugal
1,Pavel Pankov,14/08/1995,198,90,345,330,4,0,6,10,Zenit,rus-russia
2,Ilia Vlasov,03/08/1995,212,98,360,345,10,0,55,65,Dinamo,rus-russia
3,Dmitry Kovalev,15/03/1991,198,82,340,330,0,0,67,67,Ural,rus-russia
4,Denis Zemchenok,11/08/1987,203,93,350,333,0,0,24,24,Belogorie,rus-russia
6,Anton Karpukhov,23/04/1988,197,88,337,325,0,0,19,19,Kuzbass,rus-russia
7,Dmitry Volkov,25/05/1995,201,88,340,330,10,8,57,75,Fakel,rus-russia
8,Anton Semyshev,22/08/1997,201,90,350,340,0,0,11,11,Belogorie,rus-russia
9,Ivan Iakovlev,17/04/1995,207,89,360,350,0,0,19,19,Fakel,rus-russia
10,Fedor Voronkov,10/12/1995,207,85,350,340,0,0,13,13,Nova,rus-russia
11,Igor Philippov,19/03/1991,205,107,340,326,0,0,35,35,Ural,rus-russia
12,Aleksei Safonov,06/09/1989,205,102,341,328,0,0,0,0,Zenit,rus-russia
14,Yaroslav Podlesnykh,03/09/1994,198,89,341,330,0,0,15,15,Kuzbass,rus-russia
15,Victor Poletaev,27/07/1995,197,86,360,340,10,0,45,55,Kuzbass,rus-russia
17,Maxim Mikhaylov,19/03/1988,202,103,345,330,19,24,142,185,Zenit Kazan,rus-russia
18,Egor Kliuka,15/06/1995,209,93,360,350,10,8,71,89,Fakel,rus-russia
20,Ilyas Kurkaev,18/01/1994,207,95,355,335,10,0,31,41,Lokomotiv,rus-russia
21,Evgeny Baranov,30/06/1995,180,70,300,290,0,0,0,0,Dinamo,rus-russia
22,Roman Martynyuk,13/04/1987,182,75,320,310,0,0,35,35,Lokomotiv,rus-russia
23,Roman Poroshin,28/08/1995,196,90,332,321,0,0,0,0,Belogorie,rus-russia
24,Igor Kobzar c,13/04/1991,198,86,337,315,0,8,43,51,Kuzbass,rus-russia
25,Inal Tavasiev,28/03/1989,202,98,343,332,0,0,0,0,Kuzbass,rus-russia
27,Valentin Golubev,03/05/1992,190,70,310,305,8,0,30,38,Belogorie,rus-russia
28,Kirill Klets,15/03/1998,202,92,340,330,0,0,2,2,Hypo Tirol,rus-russia
29,Kirill Ursov,13/02/1995,194,86,335,325,0,0,8,8,Gazprom-Yugra,rus-russia
30,Alexey Samoylenko,23/06/1985,207,98,360,330,0,0,0,0,Zenit Kazan,rus-russia
1,Aleksandar Okolic,26/06/1993,205,90,347,320,13,0,83,96,PAOK Thessaloniki (GRE),srb-serbia
2,Uros Kovacevic,06/05/1993,197,90,340,320,22,5,148,175,Trentino Volley (ITA),srb-serbia
3,Milan Katic,22/10/1993,202,99,345,331,13,0,67,80,PGE Skra Belchatow (POL),srb-serbia
4,Nemanja Petric c,28/07/1987,203,96,350,320,22,0,63,85,Belogorie Belgorod (RUS),srb-serbia
5,Lazar Cirovic,26/02/1992,200,88,343,323,0,0,21,21,SSCD Pallavolo Padova (ITA),srb-serbia
6,Nikola Pekovic,06/03/1990,176,77,305,300,0,0,15,15,Partizan Beograd (SRB),srb-serbia
7,Petar Krsmanovic,01/06/1990,205,98,354,330,13,0,34,47,Gazprom-Ugra Surgut (RUS),srb-serbia
8,Marko Ivovic,22/12/1990,194,89,365,330,22,0,95,117,Lokomotiva Novosibirsk (RUS),srb-serbia
9,Nikola Jovovic,13/02/1992,197,75,335,315,22,0,162,184,ZIRIATBANK Ankara (TUR),srb-serbia
10,Miran Kujundžić,19/06/1997,196,86,348,334,0,0,6,6,Vojvodina NS Seme (SRB),srb-serbia
11,Aleksa Batak,18/01/2000,195,74,325,308,0,0,3,3,Mladi Radnik Pozarevac (SRB),srb-serbia
12,Dusan Petkovic,27/01/1992,202,86,328,310,0,0,36,36,SSD Argos Volley s.r.l. (ITA),srb-serbia
13,Stevan Simic,21/03/1996,201,85,330,315,0,0,20,20,Vojvodina NS Seme (SRB),srb-serbia
14,Aleksandar Atanasijevic,04/09/1991,200,92,350,329,22,5,137,164,Sir Safety Perugia (ITA),srb-serbia
15,Nemanja Masulovic,05/10/1995,205,92,360,330,0,0,3,3,Vojvodina NS Seme (SRB),srb-serbia
16,Drazen Luburic,02/11/1993,202,90,337,331,13,0,64,77,HALKBANK Ankara (TUR),srb-serbia
17,Neven Majstorovic,17/03/1989,193,90,335,325,13,0,89,102,C.S.M.U. CRAIOVA (ROU),srb-serbia
19,Stefan Negic,17/01/2000,180,75,305,290,0,0,6,6,Vojvodina NS Seme (SRB),srb-serbia
20,Srecko Lisinac,17/05/1992,205,90,355,342,22,0,128,150,Trentino Volley (ITA),srb-serbia
21,Vuk Todorovic,23/04/1998,190,74,315,305,0,0,12,12,Vojvodina NS Seme (SRB),srb-serbia
22,Andrija Vilimanovic,14/11/1995,195,89,330,320,0,0,6,6,ACH Ljubljana (SLO),srb-serbia
23,Bozidar Vucicevic,09/12/1998,205,96,355,335,0,0,15,15,Vojvodina NS Seme (SRB),srb-serbia
24,David Mehic,24/09/1997,196,83,345,330,0,0,6,6,Vojvodina NS Seme (SRB),srb-serbia
27,Stefan Kovacevic,22/02/1995,205,88,335,339,0,0,0,0,Vojvodina NS Seme (SRB),srb-serbia
28,Danilo Pavlovic,23/04/1997,196,85,350,337,0,0,0,0,Crvena Zvezda Beograd (SRB),srb-serbia
1,Matthew Anderson,18/04/1987,202,100,360,332,28,14,208,250,Zenit Kazan,usa-usa
2,Aaron Russell,04/06/1993,205,98,356,337,23,8,80,111,Trentino Volley,usa-usa
3,Taylor Sander c,17/03/1992,196,80,345,320,21,8,102,131,Associacao Social Esportiva,usa-usa
4,Jeffrey Jendryk Ii,15/09/1995,208,89,353,345,12,0,60,72,SCC Berlin,usa-usa
5,Kyle Ensing,06/03/1997,201,100,366,353,0,0,18,18,Long Beach State University,usa-usa
6,Mitchell Stahl,31/08/1994,203,84,350,325,0,0,19,19,Tours Volley-Ball,usa-usa
7,Kawika Shoji,11/11/1987,190,79,331,315,21,8,161,190,Asseco Resovia Rzeszów,usa-usa
8,Torey Defalco,10/04/1997,198,95,340,328,0,0,45,45,Long Beach State Univ.,usa-usa
9,Jake Langlois,14/05/1992,208,93,365,355,12,0,48,60,Miejski Klub Sportowy Bedzin,usa-usa
10,Daniel Mcdonnell,15/09/1988,200,90,355,345,12,0,58,70,Saems Tourcoing VB,usa-usa
11,Micah Christenson,08/05/1993,198,88,349,340,21,8,130,159,Modena Volley Punto Zero,usa-usa
12,Maxwell Holt,12/03/1987,205,90,351,333,30,8,153,191,Modena Volley Punto Zero,usa-usa
13,Benjamin Patch,21/06/1994,203,90,368,348,12,0,40,52,SCC Berlin,usa-usa
14,Micah Ma'a,16/04/1997,192,88,333,318,0,0,5,5,UCLA,usa-usa
16,Joshua Tuaniga,18/03/1997,191,102,320,307,0,0,15,15,Long Beach State Univ.,usa-usa
17,Thomas Jaeschke,04/09/1993,198,84,348,330,0,8,65,73,Bluvolley Verona,usa-usa
18,Garrett Muagututia,26/02/1988,205,92,359,345,9,0,62,71,PAOK Thessaloniki,usa-usa
19,Taylor Averill,05/03/1992,201,94,370,330,12,0,43,55,Chaumont Volley-Ball 52,usa-usa
20,David Smith,15/05/1985,201,86,348,314,27,14,163,204,Asseco Resovia Rzeszów,usa-usa
21,Dustin Watten,27/10/1986,182,80,306,295,12,0,94,106,SCC Berlin,usa-usa
22,Erik Shoji,24/08/1989,184,83,330,321,21,8,165,194,Fakel Novy Urengoy,usa-usa
23,Larry Tuileta Jr.,24/09/1995,184,95,335,318,0,0,9,9,University of Hawaii,usa-usa
24,Kyle Dagostino,18/05/1995,175,75,312,307,0,0,10,10,Stanford University,usa-usa
25,Kyle Russell,25/08/1993,206,95,358,343,0,0,11,11,SCC Berlin,usa-usa
29,Price Jarman,21/11/1992,204,100,350,331,0,0,16,16,Associacao Itapetininga de Vol,usa-usa
30,George Huhmann,17/10/1997,212,93,358,345,0,0,15,15,Princeton University,usa-usa
